,q,sample,Kq,angle/90,h/lo,D/lo,d/lo,liquid,a/a_smooth_Kut,Pr,P,a/a_smooth_Lab,a/a_smooth_Bor
208,119894.84536,30,753.740747752494,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.57408583649325,1.75,101325,1.62098363726769,1.34517841101981
209,79663.91753,30,500.821704116298,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.6332069988957,1.75,101325,1.65910354160745,1.37681233450248
210,45758.82474,30,287.671172786797,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,2.00988311706554,1.75,101325,2.00436510638468,1.66332873874953
211,21822.68041,30,137.192248764389,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,2.39573438354174,1.75,101325,2.33091160995526,1.93431439011462
212,6481.64948,30,40.7480681179867,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,3.51976653855556,1.75,101325,3.2887200977202,2.72915480059815
213,32824.3299,30,206.356118889118,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,2.27936930530585,1.75,101325,2.24807826780533,1.86557487849283
214,64169.07216,30,403.410541022296,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.74170080449653,1.75,101325,1.75660701921056,1.45772590454451
215,105917.52577,30,665.86978643044,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.58677632158475,1.75,101325,1.62731455217,1.35043214082485
216,148226.80412,30,931.854758550324,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.54132245374579,1.75,101325,1.59850720972002,1.32652627635364
217,184463.91753,30,1159.66596157605,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.54162780202357,1.75,101325,1.61052245406039,1.33649716496608
218,245240.90722,30,1541.7515593141,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.47402221180365,1.75,101325,1.55458328705474,1.2900758698608
